X	Y	TYPE	SPEED	DIRTYPE	DIRECTION		
-75.670502	45.399489	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.670502 45.399489)',4326),'speedcamerapoi.com'),"
-75.671496	45.367074	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.671496 45.367074)',4326),'speedcamerapoi.com'),"
-75.677212	45.364751	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.677212 45.364751)',4326),'speedcamerapoi.com'),"
-75.683677	45.377552	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.683677 45.377552)',4326),'speedcamerapoi.com'),"
-75.684739	45.312138	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.684739 45.312138)',4326),'speedcamerapoi.com'),"
-75.691451	45.376831	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.691451 45.376831)',4326),'speedcamerapoi.com'),"
-75.691552	45.387021	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.691552 45.387021)',4326),'speedcamerapoi.com'),"
-75.696079	45.394133	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.696079 45.394133)',4326),'speedcamerapoi.com'),"
-75.696585	45.406243	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.696585 45.406243)',4326),'speedcamerapoi.com'),"
-75.700107	45.361209	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.700107 45.361209)',4326),'speedcamerapoi.com'),"
-75.701636	45.37568	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.701636 45.37568)',4326),'speedcamerapoi.com'),"
-75.702389	45.419068	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.702389 45.419068)',4326),'speedcamerapoi.com'),"
-75.702447	45.419008	3	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.702447 45.419008)',4326),'speedcamerapoi.com'),"
-75.703024	45.455137	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.703024 45.455137)',4326),'speedcamerapoi.com'),"
-75.708246	45.373824	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.708246 45.373824)',4326),'speedcamerapoi.com'),"
-75.714001	45.422965	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.714001 45.422965)',4326),'speedcamerapoi.com'),"
-75.714344	45.470176	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.714344 45.470176)',4326),'speedcamerapoi.com'),"
-75.715874	45.437105	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.715874 45.437105)',4326),'speedcamerapoi.com'),"
-75.715972	45.464259	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.715972 45.464259)',4326),'speedcamerapoi.com'),"
-75.718998	45.407112	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.718998 45.407112)',4326),'speedcamerapoi.com'),"
-75.724479	45.465754	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.724479 45.465754)',4326),'speedcamerapoi.com'),"
-75.724723	45.440977	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.724723 45.440977)',4326),'speedcamerapoi.com'),"
-75.728299	45.357162	1	40	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.728299 45.357162)',4326),'speedcamerapoi.com'),"
-75.731671	45.367907	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.731671 45.367907)',4326),'speedcamerapoi.com'),"
-75.733467	45.350862	3	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.733467 45.350862)',4326),'speedcamerapoi.com'),"
-75.73413	45.486684	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.73413 45.486684)',4326),'speedcamerapoi.com'),"
-75.735354	45.411211	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.735354 45.411211)',4326),'speedcamerapoi.com'),"
-75.74221	45.317281	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.74221 45.317281)',4326),'speedcamerapoi.com'),"
-75.748094	45.375462	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.748094 45.375462)',4326),'speedcamerapoi.com'),"
-75.753624	45.336863	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.753624 45.336863)',4326),'speedcamerapoi.com'),"
-75.760986	45.420086	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.760986 45.420086)',4326),'speedcamerapoi.com'),"
-75.761408	45.42387	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.761408 45.42387)',4326),'speedcamerapoi.com'),"
-75.765908	45.346298	1	40	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.765908 45.346298)',4326),'speedcamerapoi.com'),"
-75.769524	45.363606	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.769524 45.363606)',4326),'speedcamerapoi.com'),"
-75.773124	45.342169	1	40	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.773124 45.342169)',4326),'speedcamerapoi.com'),"
